Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides DEAC2	Peptides SM	Razor + unique peptides DEAC2	Razor + unique peptides SM	Unique peptides DEAC2	Unique peptides SM	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 11	Fraction 12	Fraction 13	Fraction 14	Q-value	Score	Identification type DEAC2	Identification type SM	Sequence coverage DEAC2 [%]	Sequence coverage SM [%]	Intensity	Intensity DEAC2	Intensity SM	iBAQ	iBAQ DEAC2	iBAQ SM	LFQ intensity DEAC2	LFQ intensity SM	MS/MS count DEAC2	MS/MS count SM	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
Tb927.8.7820:mRNA-p1	Tb927.8.7820:mRNA-p1	6	6	6		1	6	6	6	5	5	5	5	5	5	24.2	24.2	24.2	52.535	504	504	8			5				5		0	54.37	By MS/MS	By MS/MS	17.9	22	5905600	2610900	3294700	421830	186500	235340	824270	726840	6	6	12				1927	379;1441;3496;3718;4011;9463	True;True;True;True;True;True	396;1550;3796;4047;4363;10433	984;985;3721;8918;8919;9496;9497;10161;24639;24640	1178;1179;4266;10037;10038;10660;10661;10662;10663;11397;27334;27335	1178;4266;10037;10660;11397;27335		
Tb927.8.7940:mRNA-p1;Tb927.8.7590:mRNA-p1;Tb11.v5.0821.1-p1;Tb11.v5.0379.1-p1;Tb11.v5.0484.1-p1;Tb927.2.910:pseudogenic_transcript-p1;Tb927.7.7470:mRNA-p1;Tb927.10.13040:mRNA-p1;Tb927.4.3870:mRNA-p1;Tb927.4.3860:mRNA-p1;Tb927.4.3880:mRNA-p1;Tb927.5.4550:mRNA-p1;Tb927.5.4540:mRNA-p1;Tb05.5K5.190:mRNA-p1;Tb05.5K5.180:mRNA-p1;Tb927.5.1450:mRNA-p1;Tb927.4.3750:mRNA-p1	Tb927.8.7940:mRNA-p1	17;5;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1	16;4;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0	8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0		17	17	16	8	16	8	15	7	8	4	14.3	13.4	7.3	138.49	1250	1250;1267;395;613;918;969;1205;1209;1232;1232;1234;1243;1243;1243;1243;1249;1274	4.06	13	13			5	4			0	133.31	By MS/MS	By MS/MS	13.4	6.6	7752600	5009900	2742700	119270	77075	42196	3315000	3064300	25	9	34				1928	628;790;945;1163;1396;2092;2371;3780;3910;4788;5380;5757;9108;9184;9645;10700;11071	True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;True;True	670;850;1015;1251;1501;2272;2581;4114;4253;5222;5863;6259;10041;10125;10632;10633;11785;12190	1658;1659;1660;2091;2535;2536;2537;2538;3094;3624;5442;5443;5444;6075;6076;9641;9642;9953;9954;12149;13631;13632;13633;13634;14574;14575;23685;23686;23687;23892;23893;25116;25117;25118;25119;27887;27888;28798;28799	1969;1970;1971;2425;2949;2950;2951;2952;3572;4155;6135;6136;6829;6830;6831;10829;11173;11174;13608;15178;15179;15180;15181;16246;16247;26221;26222;26223;26224;26473;26474;27866;27867;27868;27869;27870;27871;30899;31963;31964	1969;2425;2950;3572;4155;6135;6830;10829;11173;13608;15179;16247;26223;26473;27871;30899;31963	114	934
Tb927.8.7970:mRNA-p1	Tb927.8.7970:mRNA-p1	3	3	3		1	3	3	3	1	3	1	3	1	3	6.5	6.5	6.5	53.211	494	494	8.2		1	1			3			0	19.466	By MS/MS	By MS/MS	2.6	6.5	1368500	860230	508230	65165	40963	24201	0	1216200	1	4	5				1929	6144;8065;9993	True;True;True	6684;8921;11013	15543;20964;20965;20966;26030	17320;23255;23256;23257;28945	17320;23257;28945		
Tb927.8.7990:mRNA-p1	Tb927.8.7990:mRNA-p1	6	6	6		1	6	6	6	6	0	6	0	6	0	1.3	1.3	1.3	550.54	4942	4942	1	6								0	39.377	By MS/MS		1.3	0	362110	362110	0	1496.3	1496.3	0	362110	0	6	0	6				1930	19;131;517;1482;2698;8204	True;True;True;True;True;True	20;138;548;1595;2942;9065	52;394;1399;3807;6975;21353	61;459;1652;4366;4367;7825;23683	61;459;1652;4367;7825;23683		
Tb927.8.8020:mRNA-p1	Tb927.8.8020:mRNA-p1	7	5	5		1	7	5	5	2	6	2	4	2	4	32.2	23.6	23.6	35.221	314	314	10.7				2				4	0	54.168	By MS/MS	By MS/MS	8	29.3	859090	374230	484860	45215	19696	25519	0	146160	2	6	8				1931	1613;2772;4185;7584;7776;10447;10908	True;True;True;False;True;True;False	1745;3022;4548;8412;8616;11504;12006	4162;7160;10533;19882;20375;20376;27170;28367	4777;8030;11800;22129;22648;22649;22650;22651;30156;31416	4777;8030;11800;22129;22649;30156;31416		
Tb927.8.8030:mRNA-p1	Tb927.8.8030:mRNA-p1	1	1	1		1	1	1	1	0	1	0	1	0	1	6.3	6.3	6.3	23.067	205	205	14								1	0.0027996	8.3016		By MS/MS	0	6.3	229900	0	229900	45981	0	45981	0	69303	0	1	1				1932	10640	True	11721	27719	30722	30722		
Tb927.8.8050:mRNA-p1	Tb927.8.8050:mRNA-p1	3	2	2		1	3	2	2	3	0	2	0	2	0	4.9	3.8	3.8	74.823	739	739	2		2							0	15.247	By MS/MS		4.9	0	421340	421340	0	19152	19152	0	341090	0	2	0	2				1933	366;4195;7251	True;False;True	382;4558;8048	961;10549;10550;10551;18979	1152;11824;21134	1152;11824;21134		
Tb927.8.8100:mRNA-p1;Tb927.8.8080:pseudogenic_transcript-p1;Tb927.8.8090:mRNA-p1;Tb927.8.8060:pseudogenic_transcript-p1	Tb927.8.8100:mRNA-p1;Tb927.8.8080:pseudogenic_transcript-p1;Tb927.8.8090:mRNA-p1	3;2;2;1	3;2;2;1	3;2;2;1	;;	4	3	3	3	2	3	2	3	2	3	7.9	7.9	7.9	45.033	390	390;209;390;74	8.25		2	2	2			3	3	0	18.516	By MS/MS	By MS/MS	5.4	7.9	2149400	1022400	1127000	93451	44453	48998	328530	0	4	6	10				1934	1897;2877;10458	True;True;True	2062;3130;11515	5011;5012;5013;5014;5015;7434;7435;27191;27192;27193;27194;27195	5664;5665;5666;5667;8365;8366;30181;30182;30183;30184	5665;8365;30182		
Tb927.8.8120:mRNA-p1	Tb927.8.8120:mRNA-p1	3	3	3		1	3	3	3	3	3	3	3	3	3	14.9	14.9	14.9	30.085	268	268	9				3				3	0	150.12	By MS/MS	By MS/MS	14.9	14.9	2935700	1906400	1029400	293570	190640	102940	577380	274330	3	4	7				1935	1881;3343;6130	True;True;True	2046;3629;6670	4981;4982;8519;8520;15499;15500	5629;5630;9602;9603;9604;17275;17276	5630;9602;17275		
Tb927.8.8140:mRNA-p1	Tb927.8.8140:mRNA-p1	3	3	3		1	3	3	3	3	1	3	1	3	1	4.9	4.9	4.9	68.285	632	632	4.5		3				1			0	20.168	By MS/MS	By MS/MS	4.9	1.4	442450	357860	84587	17017	13764	3253.4	289690	0	3	2	5				1936	644;2755;4274	True;True;True	694;3003;4642	1712;7113;7114;10719	2025;7987;7988;7989;12011	2025;7987;12011	1125	215
Tb927.8.8150:mRNA-p1	Tb927.8.8150:mRNA-p1	4	4	4		1	4	4	4	4	1	4	1	4	1	40.7	40.7	40.7	19.746	182	182	5.67				5				1	0	35.037	By MS/MS	By MS/MS	40.7	7.1	3634500	3443200	191360	454310	430390	23920	915060	0	5	1	6				1937	6577;10215;10664;10767	True;True;True;True	7188;7189;11246;11747;11857	16777;16778;16779;26561;27791;28070	18693;18694;18695;29534;30798;31092	18695;29534;30798;31092	1126	170
Tb927.8.8170:mRNA-p1	Tb927.8.8170:mRNA-p1	12	12	12		1	12	12	12	12	4	12	4	12	4	13	13	13	100.4	905	905	4.06	2	12			1	3			0	94.26	By MS/MS	By MS/MS	13	5	2524600	2144700	379910	52596	44681	7914.8	1548800	1116600	17	4	21				1938	1474;1929;1930;2518;2650;2752;3906;4610;7417;8084;8143;8877	True;True;True;True;True;True;True;True;True;True;True;True	1586;2096;2097;2748;2890;3000;4249;5025;8233;8940;9000;9792	3788;3789;5072;5073;5074;6578;6579;6580;6884;7107;9941;11677;19400;21037;21179;23107;23108;23109	4344;4345;5726;5727;5728;5729;7414;7415;7416;7417;7732;7982;11157;11158;13088;21604;23329;23489;25593;25594;25595	4344;5727;5729;7417;7732;7982;11157;13088;21604;23329;23489;25594		
Tb927.8.8180:mRNA-p1;Tb927.4.4150:mRNA-p1	Tb927.8.8180:mRNA-p1;Tb927.4.4150:mRNA-p1	12;11	12;11	12;11	;	2	12	12	12	12	0	12	0	12	0	15.3	15.3	15.3	103.45	934	934;934	2.08		11	1						0	70.681	By MS/MS		15.3	0	2282200	2282200	0	49614	49614	0	1819000	0	13	0	13				1939	317;2820;4247;4694;5334;5539;5635;5783;6288;7677;7696;9520	True;True;True;True;True;True;True;True;True;True;True;True	331;3071;4613;5117;5813;6027;6133;6286;6836;8511;8533;10493	836;7256;10641;11905;13519;13971;14280;14628;15908;20057;20122;24788	981;8124;11920;13352;15058;15059;15535;15942;16309;17735;22313;22378;27506	981;8124;11920;13352;15059;15535;15942;16309;17735;22313;22378;27506		
Tb927.8.820:mRNA-p1	Tb927.8.820:mRNA-p1	10	10	10		1	10	10	10	7	5	7	5	7	5	25.7	25.7	25.7	61.686	553	553	7.17			7				5		0	67.505	By MS/MS	By MS/MS	18.6	11.9	1809100	942360	866720	60303	31412	28891	265210	218250	7	5	12				1940	1747;2228;2489;2515;2996;4890;5772;6044;8093;9034	True;True;True;True;True;True;True;True;True;True	1898;2417;2714;2744;3259;5331;6275;6576;8949;9962	4581;4582;5771;6488;6570;7700;12373;14602;15278;15279;21054;23504	5215;5216;6507;7318;7405;8646;13861;16282;17059;17060;23348;26019	5215;6507;7318;7405;8646;13861;16282;17060;23348;26019		
Tb927.8.8230:mRNA-p1;Tb927.8.8220:mRNA-p1	Tb927.8.8230:mRNA-p1	4;1	4;1	2;1		2	4	4	2	3	4	3	4	1	2	11.3	11.3	5.9	49.701	461	461;460	9.38		1	2	6			3	9	0	45.518	By MS/MS	By MS/MS	8.5	11.3	25603000	12169000	13434000	1600200	760560	839630	3114800	4242400	9	12	21				1941	1702;2535;4470;6185	True;True;True;True	1849;2766;4856;4857;6725	4468;4469;6613;6614;6615;11223;11224;11225;11226;11227;11228;11229;11230;11231;15643;15644;15645;15646;15647;15648;15649	5090;5091;7454;7455;7456;12580;12581;12582;12583;12584;12585;12586;12587;12588;12589;12590;12591;17413;17414;17415;17416	5090;7455;12583;17413	1127	247
Tb927.8.8260:mRNA-p1;Tb927.8.8250:mRNA-p1;Tb927.8.8240:mRNA-p1	Tb927.8.8260:mRNA-p1;Tb927.8.8250:mRNA-p1	3;3;1	1;1;1	1;1;1	;	3	3	1	1	2	3	0	1	0	1	8.3	2.8	2.8	49.461	460	460;461;460	13.7							1	2	0.0040445	6.7704	By matching	By MS/MS	5.4	8.3	2259400	0	2259400	161390	0	161390	0	678280	0	2	2				1942	1702;2536;6185	False;True;False	1849;2767;6725	4468;4469;6616;6617;6618;15643;15644;15645;15646;15647;15648;15649	5090;5091;7457;7458;17413;17414;17415;17416	5090;7458;17413		
Tb927.8.8280:mRNA-p1	Tb927.8.8280:mRNA-p1	3	3	3		1	3	3	3	0	3	0	3	0	3	11.5	11.5	11.5	30.098	262	262	14								3	0	18.403		By MS/MS	0	11.5	883670	0	883670	73639	0	73639	0	266380	0	3	3				1943	66;5177;7707	True;True;True	68;5650;8544	157;13156;20153	178;14672;22419	178;14672;22419		
Tb927.8.8330:mRNA-p1;Tb927.4.3950:mRNA-p1	Tb927.8.8330:mRNA-p1	16;4	16;4	16;4		2	16	16	16	13	10	13	10	13	10	22	22	22	98.456	888	888;853	6.92	3	15			5	14			0	113.05	By MS/MS	By MS/MS	19.3	10.8	14618000	4544000	10074000	395080	122810	272270	7866100	16723000	23	17	40				1944	630;1920;2798;3304;3952;4600;5310;6043;6176;7711;7780;7915;9419;9752;10009;10274	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	673;674;2086;3048;3586;4298;5009;5788;5789;6575;6716;8548;8620;8762;10385;10753;11030;11310	1664;1665;1666;1667;1668;1669;1670;1671;5050;5051;5052;7218;7219;7220;7221;8442;10026;11608;13464;13465;15276;15277;15623;15624;15625;20161;20381;20630;24541;24542;24543;24544;25397;25398;26060;26061;26751	1975;1976;1977;1978;1979;1980;1981;5702;5703;5704;5705;8089;8090;8091;9517;11245;11246;13002;13003;13004;14999;15000;17058;17395;17396;22428;22657;22916;27233;27234;27235;27236;28193;28194;28195;28980;28981;29738;29739;29740	1975;5703;8090;9517;11246;13004;15000;17058;17395;22428;22657;22916;27235;28194;28980;29739	1128	310
Tb927.8.880:mRNA-p1	Tb927.8.880:mRNA-p1	1	1	1		1	1	1	1	1	1	1	1	1	1	1.5	1.5	1.5	79.363	749	749	7		1				1			0.002767	8.1071	By MS/MS	By MS/MS	1.5	1.5	346800	256600	90198	8892.4	6579.6	2312.8	0	215840	1	1	2				1945	10780	True	11871	28103;28104	31126;31127	31126		
Tb927.8.890:mRNA-p1	Tb927.8.890:mRNA-p1	6	6	5		1	6	6	5	5	5	5	5	4	4	40.4	40.4	35.1	22.714	208	208	9.44				7	1			8	0	77.553	By MS/MS	By MS/MS	32.7	33.2	45265000	21621000	23644000	3233200	1544300	1688900	4322100	6041000	7	9	16				1946	2453;5774;6028;7382;9705;9728	True;True;True;True;True;True	2674;2675;6277;6558;8190;10703;10727	6385;6386;6387;6388;6389;14604;14605;14606;14607;15202;15203;15204;19315;19316;25264;25336	7191;7192;7193;7194;7195;16284;16285;16286;16287;16932;16933;16934;21518;21519;28046;28047;28114	7192;16287;16934;21519;28047;28114	1129	165
Tb927.8.900:mRNA-p1	Tb927.8.900:mRNA-p1	3	3	3		1	3	3	3	3	2	3	2	3	2	11.3	11.3	11.3	37.469	328	328	5.78	3	1		2	1			2	0	21.816	By MS/MS	By MS/MS	11.3	7	1338700	890870	447860	83670	55679	27991	464050	211870	5	3	8				1947	3075;5412;8988	True;True;True	3341;5897;9910	7887;13715;13716;13717;13718;23386;23387;23388;23389	8882;15263;15264;15265;15266;25894;25895;25896	8882;15263;25896		
Tb927.8.910:mRNA-p1	Tb927.8.910:mRNA-p1	4	4	4		1	4	4	4	4	4	4	4	4	4	15.9	15.9	15.9	50.195	465	465	8			4				4		0	41.723	By MS/MS	By MS/MS	15.9	15.9	4474200	2063500	2410700	406740	187590	219150	617750	562360	6	5	11				1948	1380;4014;8491;9339	True;True;True;True	1485;4366;4367;9371;10292	3588;3589;10170;10171;22166;22167;24332;24333	4121;4122;4123;11407;11408;24594;24595;26992;26993;26994;26995	4122;11407;24594;26994	1130	198
Tb927.8.920:mRNA-p1	Tb927.8.920:mRNA-p1	4	4	4		1	4	4	4	3	4	3	4	3	4	30	30	30	17.63	160	160	9.71				3				4	0	45.69	By MS/MS	By MS/MS	22.5	30	2046900	969810	1077100	204690	96981	107710	280570	319540	3	5	8				1949	338;434;8604;10918	True;True;True;True	353;453;9499;12018	880;881;1162;1163;22446;22447;28392	1034;1035;1389;1390;1391;24884;24885;31439	1034;1389;24885;31439		
Tb927.8.990:mRNA-p1	Tb927.8.990:mRNA-p1	2	2	2		1	2	2	2	2	2	2	2	2	2	6.6	6.6	6.6	33.963	318	318	9				2				2	0	14.163	By MS/MS	By MS/MS	6.6	6.6	1195600	643450	552120	79705	42897	36808	182660	166520	2	2	4				1950	5931;6274	True;True	6456;6822	15013;15014;15885;15886	16743;16744;17711;17712	16744;17711		
Tb927.9.10070:mRNA-p1	Tb927.9.10070:mRNA-p1	2	2	2		1	2	2	2	0	2	0	2	0	2	9	9	9	32.855	288	288	14								2	0	12.672		By MS/MS	0	9	100170	0	100170	5564.9	0	5564.9	0	30195	0	2	2				1951	1199;8755	True;True	1288;9654	3159;22788	3645;25251	3645;25251		
Tb927.9.10100:mRNA-p1	Tb927.9.10100:mRNA-p1	6	6	6		1	6	6	6	3	4	3	4	3	4	4.2	4.2	4.2	160.65	1449	1449	6.12	3	1			4				0	37.796	By MS/MS	By MS/MS	2.2	2.8	546150	233810	312340	7380.4	3159.6	4220.8	226300	0	4	4	8				1952	421;1865;3835;5851;8526;8824	True;True;True;True;True;True	438;2028;4175;6362;9407;9726	1106;4945;9795;14856;22256;22257;22258;22957	1315;5589;11003;16570;24686;24687;24688;25434	1315;5589;11003;16570;24688;25434		
Tb927.9.10160:mRNA-p1	Tb927.9.10160:mRNA-p1	1	1	1		1	1	1	1	0	1	0	1	0	1	3.6	3.6	3.6	25.412	225	225	14								1	0.0088279	6.4916		By MS/MS	0	3.6	112700	0	112700	9391.4	0	9391.4	0	33972	0	1	1				1953	5220	True	5695	13270	14792	14792		
Tb927.9.10310:mRNA-p1	Tb927.9.10310:mRNA-p1	9	9	9		1	9	9	9	5	9	5	9	5	9	41	41	41	34.295	317	317	10.9				5				11	0	92.654	By MS/MS	By MS/MS	20.8	41	19576000	5137700	14438000	1151500	302220	849290	1557200	4208600	5	13	18				1954	182;1125;1161;2740;8793;8935;10214;10514;10970	True;True;True;True;True;True;True;True;True	192;1210;1249;2987;9693;9854;11245;11575;11576;12077	517;518;3024;3092;7087;22873;22874;23256;23257;26559;26560;27369;27370;27371;28497;28498	588;589;3491;3570;7960;25338;25339;25750;25751;29532;29533;30370;30371;30372;30373;30374;30375;31557;31558	588;3491;3570;7960;25338;25751;29532;30372;31557	1131	170
Tb927.9.10350:mRNA-p1	Tb927.9.10350:mRNA-p1	3	3	3		1	3	3	3	2	3	2	3	2	3	18.4	18.4	18.4	23.469	207	207	10				2				3	0	35.7	By MS/MS	By MS/MS	12.1	18.4	4419400	2156200	2263200	441940	215620	226320	623840	670760	2	3	5				1955	5218;5974;8885	True;True;True	5693;6501;9800	13265;13266;15113;15114;23124	14787;14788;16836;16837;25613	14787;16837;25613		
Tb927.9.10470:mRNA-p1	Tb927.9.10470:mRNA-p1	4	4	4		1	4	4	4	2	4	2	4	2	4	12.8	12.8	12.8	39.536	343	343	10.7				2				4	0	43.589	By MS/MS	By MS/MS	5.8	12.8	2650000	1164700	1485300	139470	61300	78173	459550	318970	3	4	7				1956	245;4913;5811;7082	True;True;True;True	257;5357;6318;7858	691;12433;12434;14704;18465;18466	812;13924;13925;16388;20583;20584;20585	812;13924;16388;20585		
Tb927.9.10500:mRNA-p1	Tb927.9.10500:mRNA-p1	7	7	7		1	7	7	7	5	6	5	6	5	6	21	21	21	59.455	529	529	7.62			7				6		0	67.692	By MS/MS	By MS/MS	13.8	18.7	2161400	1142000	1019400	69723	36838	32885	293300	229180	7	9	16				1957	13;1048;1386;2250;4657;5748;10280	True;True;True;True;True;True;True	14;1128;1491;2442;2443;5074;5075;6249;11317	36;2856;3598;3599;5813;5814;5815;11787;11788;11789;14553;26763;26764	49;3310;4133;4134;4135;6549;6550;6551;13209;13210;13211;13212;16222;16223;29750;29751	49;3310;4133;6551;13211;16223;29751	1132;1133;1134	39;206;506
Tb927.9.10560:mRNA-p1	Tb927.9.10560:mRNA-p1	1	1	1		1	1	1	1	0	1	0	1	0	1	13.1	13.1	13.1	19.035	168	168	14								1	0	23.763		By MS/MS	0	13.1	493090	0	493090	98617	0	98617	0	148640	0	2	2				1958	4150	True	4511	10468	11729;11730	11730		
Tb927.9.10570:mRNA-p1	Tb927.9.10570:mRNA-p1	2	2	2		1	2	2	2	2	0	2	0	2	0	9.7	9.7	9.7	37.875	321	321	4				2					0	14.768	By MS/MS		9.7	0	243460	243460	0	16231	16231	0	69144	0	2	0	2				1959	1182;4916	True;True	1271;5360	3127;12437	3610;3611;13929	3610;13929		
Tb927.9.10580:mRNA-p1	Tb927.9.10580:mRNA-p1	2	2	2		1	2	2	2	2	1	2	1	2	1	9.7	9.7	9.7	31.206	288	288	9				2				2	0	43.504	By MS/MS	By MS/MS	9.7	5.2	701400	532350	169040	36916	28019	8897	151190	0	2	2	4				1960	1212;8759	True;True	1302;9658;9659	3183;22793;22794;22795	3669;25256;25257;25258	3669;25256	1135	281
Tb927.9.10640:mRNA-p1	Tb927.9.10640:mRNA-p1	2	2	2		1	2	2	2	2	1	2	1	2	1	2.8	2.8	2.8	83.045	755	755	5.33		2				1			0	21.25	By MS/MS	By MS/MS	2.8	1.6	344890	344890	0	10144	10144	0	279200	0	2	1	3				1961	5940;6553	True;True	6466;7154	15031;15032;16706	16761;16762;18617	16761;18617		
Tb927.9.10650:mRNA-p1	Tb927.9.10650:mRNA-p1	3	3	3		1	3	3	3	2	3	2	3	2	3	26.7	26.7	26.7	15.012	131	131	10.7				2				4	0	37.567	By MS/MS	By MS/MS	26	26.7	2223700	548770	1674900	317670	78395	239270	154710	351580	2	4	6				1962	2597;6541;6542	True;True;True	2833;7138;7139;7140	6754;6755;16616;16617;16618;16619	7590;7591;18501;18502;18503;18504	7591;18502;18504	1136	1
Tb927.9.10690:mRNA-p1	Tb927.9.10690:mRNA-p1	2	2	2		1	2	2	2	0	2	0	2	0	2	4.5	4.5	4.5	55.64	488	488	13							2		0.0017857	11.435		By MS/MS	0	4.5	297460	0	297460	11017	0	11017	0	70470	0	2	2				1963	1900;5955	True;True	2066;6481	5023;15067	5677;16793	5677;16793		
Tb927.9.10770:mRNA-p1	Tb927.9.10770:mRNA-p1	38	38	38		1	38	38	38	37	32	37	32	37	32	57.1	57.1	57.1	62.147	555	555	7.53	4	20	50	29	2	12	41	28	0	323.31	By MS/MS	By MS/MS	56.8	46.5	1226100000	757900000	468180000	42278000	26134000	16144000	212530000	135870000	93	69	162				1964	27;542;948;1106;1503;2259;2387;2524;4769;5050;5051;5655;5971;5972;6212;6213;6413;6440;6950;7065;7066;7067;7378;7379;7388;7414;7725;7791;7940;7941;8331;8332;8463;9834;10093;10489;10526;11232	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	28;576;1019;1189;1619;2453;2597;2755;5203;5510;5511;6154;6498;6499;6752;6753;6969;6999;7713;7841;7842;7843;8186;8187;8199;8230;8562;8632;8788;8789;9201;9202;9343;10842;11117;11550;11590;12369	63;1465;2556;2557;2558;2559;2560;2561;2562;2563;2564;2565;2977;2978;2979;2980;3855;3856;3857;3858;3859;3860;3861;5832;5833;5834;5835;5836;5837;5838;5839;5840;6108;6109;6110;6111;6595;6596;6597;6598;12099;12100;12101;12102;12103;12104;12105;12106;12107;12822;12823;12824;12825;12826;12827;12828;12829;14341;14342;14343;14344;15105;15106;15107;15108;15109;15110;15699;15700;15701;15702;15703;15704;15705;15706;15707;15708;15709;15710;15711;15712;15713;16243;16244;16245;16246;16307;16308;16309;16310;16311;16312;18093;18094;18095;18096;18097;18098;18099;18427;18428;18429;18430;18431;18432;18433;18434;18435;18436;18437;18438;19306;19307;19308;19309;19310;19311;19338;19395;19396;20197;20198;20396;20397;20398;20399;20676;20677;20678;20679;20680;20681;20682;21651;21652;21653;21654;21655;21656;21657;21658;21659;21660;21661;21662;21663;21664;21665;21666;22099;22100;22101;22102;22103;22104;22105;22106;22107;25627;25628;25629;25630;25631;25632;26282;26283;26284;26285;26286;26287;27315;27316;27317;27318;27319;27320;27321;27322;27398;29208;29209;29210;29211;29212;29213;29214	79;80;1741;2972;2973;2974;2975;2976;2977;2978;2979;3441;3442;3443;3444;4424;4425;4426;4427;4428;6568;6569;6570;6571;6572;6573;6574;6575;6576;6577;6864;6865;6866;6867;7435;7436;7437;7438;13557;13558;13559;13560;13561;13562;13563;13564;14333;14334;14335;14336;14337;14338;14339;14340;14341;16001;16002;16003;16004;16005;16006;16830;16831;16832;16833;17462;17463;17464;17465;17466;17467;17468;17469;17470;17471;17472;17473;18118;18119;18191;18192;18193;18194;18195;20187;20188;20189;20190;20191;20192;20193;20194;20549;20550;20551;20552;20553;20554;20555;20556;21508;21509;21510;21511;21512;21513;21541;21599;21600;22464;22465;22671;22672;22673;22674;22965;22966;22967;22968;22969;24029;24030;24031;24032;24033;24034;24035;24036;24037;24038;24511;24512;24513;24514;24515;24516;24517;24518;24519;24520;24521;24522;28487;28488;28489;28490;28491;29241;29242;29243;29244;29245;29246;30309;30310;30311;30312;30313;30314;30403;32392;32393;32394;32395	80;1741;2979;3442;4424;6577;6865;7436;13558;14334;14341;16002;16831;16833;17463;17467;18118;18191;20192;20549;20550;20556;21508;21513;21541;21600;22464;22673;22966;22968;24034;24036;24511;28490;29246;30314;30403;32392	1137;1138	115;321
Tb927.9.10880:mRNA-p1	Tb927.9.10880:mRNA-p1	4	4	4		1	4	4	4	4	2	4	2	4	2	23.8	23.8	23.8	26.878	240	240	6.86				5				2	0	29.384	By MS/MS	By MS/MS	23.8	12.9	2772600	2209600	563010	462110	368270	93835	411050	386210	5	3	8				1965	949;5786;6183;8842	True;True;True;True	1020;6289;6723;9747	2566;2567;14631;14632;15641;22993;22994	2980;2981;2982;16312;16313;17411;25471;25472	2981;16312;17411;25472		
Tb927.9.10970:mRNA-p1	Tb927.9.10970:mRNA-p1	1	1	1		1	1	1	1	1	1	1	1	1	1	2.7	2.7	2.7	41.316	370	370	9				1				1	0.0079208	6.5578	By MS/MS	By MS/MS	2.7	2.7	450650	307490	143160	25036	17083	7953.5	0	43156	1	1	2				1966	4649	True	5066	11770;11771	13190;13191	13190		
Tb927.9.11000:mRNA-p1	Tb927.9.11000:mRNA-p1	8	8	8		1	8	8	8	8	8	8	8	8	8	36.8	36.8	36.8	23.832	220	220	9				10				10	0	124.59	By MS/MS	By MS/MS	36.8	36.8	42249000	22992000	19257000	3520800	1916000	1604800	6663500	5671400	11	11	22				1967	681;852;878;1958;2926;4941;6391;8992	True;True;True;True;True;True;True;True	733;914;942;2126;3184;5386;6947;9915	1807;1808;2258;2259;2260;2349;2350;5137;5138;7538;7539;12524;12525;16203;16204;16205;23399;23400;23401;23402	2129;2130;2620;2621;2622;2724;2725;5794;5795;8482;8483;14015;14016;18072;18073;18074;18075;18076;25906;25907;25908;25909	2129;2621;2724;5795;8483;14015;18074;25907		
Tb927.9.11050:mRNA-p1	Tb927.9.11050:mRNA-p1	1	1	1		1	1	1	1	1	1	1	1	1	1	2.9	2.9	2.9	58.54	545	545	7.67		1	1	1		2	1		0	21.849	By MS/MS	By MS/MS	2.9	2.9	2312100	1346000	966140	110100	64095	46007	0	1236100	2	4	6				1968	686	True	738	1826;1827;1828;1829;1830;1831	2140;2141;2142;2143;2144;2145	2140		
Tb927.9.11110:mRNA-p1	Tb927.9.11110:mRNA-p1	2	2	2		1	2	2	2	1	1	1	1	1	1	0.7	0.7	0.7	277	2403	2403	6	1				1				0	12.856	By MS/MS	By MS/MS	0.4	0.3	89125	39396	49728	675.19	298.46	376.73	39396	0	2	1	3				1969	5731;8135	True;True	6232;8992	14523;21161	16193;23472;23473	16193;23473		
Tb927.9.11230:mRNA-p1	Tb927.9.11230:mRNA-p1	3	3	3		1	3	3	3	2	3	2	3	2	3	24.8	24.8	24.8	15.86	141	141	10				2				3	0	18.992	By MS/MS	By MS/MS	13.5	24.8	1599000	664540	934450	177670	73838	103830	225660	244760	2	3	5				1970	1883;6623;9980	True;True;True	2048;7266;10998	4985;4986;16934;16935;26002	5634;5635;18867;18868;28915	5634;18867;28915		
