,Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides DM-dig,Peptides DM-tx,Peptides TbGPI12-dig,Peptides TbGPI12-tx,Razor + unique peptides DM-dig,Razor + unique peptides DM-tx,Razor + unique peptides TbGPI12-dig,Razor + unique peptides TbGPI12-tx,Unique peptides DM-dig,Unique peptides DM-tx,Unique peptides TbGPI12-dig,Unique peptides TbGPI12-tx,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Fraction average,Fraction 1,Fraction 2,Fraction 11,Fraction 12,Fraction 31,Fraction 32,Fraction 41,Fraction 42,Q-value,Score,Identification type DM-dig,Identification type DM-tx,Identification type TbGPI12-dig,Identification type TbGPI12-tx,Sequence coverage DM-dig [%],Sequence coverage DM-tx [%],Sequence coverage TbGPI12-dig [%],Sequence coverage TbGPI12-tx [%],Intensity,Intensity DM-dig,Intensity DM-tx,Intensity TbGPI12-dig,Intensity TbGPI12-tx,iBAQ,iBAQ DM-dig,iBAQ DM-tx,iBAQ TbGPI12-dig,iBAQ TbGPI12-tx,LFQ intensity DM-dig,LFQ intensity DM-tx,LFQ intensity TbGPI12-dig,LFQ intensity TbGPI12-tx,MS/MS count DM-dig,MS/MS count DM-tx,MS/MS count TbGPI12-dig,MS/MS count TbGPI12-tx,MS/MS count,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Oxidation (M) site IDs,Oxidation (M) site positions,Gene_id,Gene_desc
628,Tb927.11.6210:mRNA-p1,Tb927.11.6210:mRNA-p1,7,7,7,,1,7,7,7,6,0,5,1,6,0,5,1,6,0,5,1,12.3,12.3,12.3,54.372,481,481,8.15,,7.0,,5.0,,1.0,,,0.0,46.326,By MS/MS,,By MS/MS,By MS/MS,10.8,0.0,8.7,2.3,944280,684430,0,221380,38474,37771.0,27377.0,0.0,8855.0,1539.0,130860.0,0,328280,0.0,6,0,5,1,12,,,,628,897;1469;1529;2516;3211;4305;5222,True;True;True;True;True;True;True,974;975;1602;1668;2725;3482;4720;5715,2101;2102;3415;3556;3557;5969;5970;7657;10334;10335;10336;12632;12633,2437;2438;3935;4085;4086;7025;7026;9038;12192;12193;12194;15079;15080,2437;3935;4085;7025;9038;12194;15080,421,360,Tb927.11.6210,Lanosterol 14-alpha demethylase
629,Tb927.11.6230:mRNA-p1,Tb927.11.6230:mRNA-p1,2,2,2,,1,2,2,2,0,2,0,2,0,2,0,2,0,2,0,2,5.0,5.0,5.0,53.647,481,481,37.6,,,,,,2.0,2.0,1.0,0.0,14.061,,By MS/MS,,By MS/MS,0.0,5.0,0.0,5.0,416630,0,241620,0,175020,24508.0,0.0,14213.0,0.0,10295.0,0.0,222630,0,130810.0,0,3,0,3,6,,,,629,1093;3883,True;True,1186;4275,2539;2540;2541;9427;9428,2925;2926;11155;11156;11157;11158,2925;11157,,,Tb927.11.6230,"protein transport protein SEC61 subunit alpha, putative"
630,Tb927.11.6250:mRNA-p1,Tb927.11.6250:mRNA-p1,3,3,3,,1,3,3,3,2,3,1,1,2,3,1,1,2,3,1,1,16.4,16.4,16.4,27.599,269,269,27.7,2.0,,1.0,,1.0,,5.0,,0.0,22.511999999999997,By MS/MS,By MS/MS,By MS/MS,By MS/MS,10.0,16.4,4.1,4.1,1952800,565560,1255100,106770,25301,150210.0,43505.0,96550.0,8212.9,1946.2,657890.0,1008100,0,0.0,2,7,1,1,11,,,,630,1236;4179;4581,True;True;True,1343;4588;5015,2893;2894;10031;10032;10033;11003;11004;11005;11006,3335;3336;3337;11852;11853;11854;11855;12993;12994;12995;12996,3337;11854;12993,,,Tb927.11.6250,"hypothetical protein, conserved"
631,Tb927.11.6280:mRNA-p1,Tb927.11.6280:mRNA-p1,2,2,2,,1,2,2,2,2,0,0,0,2,0,0,0,2,0,0,0,2.4,2.4,2.4,100.45,913,913,1.5,2.0,2.0,,,,,,,0.0,12.591,By MS/MS,,,,2.4,0.0,0.0,0.0,330830,330830,0,0,0,6362.1,6362.1,0.0,0.0,0.0,210480.0,0,0,0.0,2,0,0,0,2,,,,631,75;1493,True;True,79;1629,163;164;3489;3490,203;4011,203;4011,,,Tb927.11.6280,pyruvate phosphate dikinase
632,Tb927.11.6300:mRNA-p1,Tb927.11.6300:mRNA-p1,5,5,5,,1,5,5,5,5,1,1,2,5,1,1,2,5,1,1,2,20.5,20.5,20.5,21.386,190,190,8.89,12.0,1.0,1.0,,2.0,1.0,1.0,,0.0,34.411,By MS/MS,By MS/MS,By MS/MS,By MS/MS,20.5,5.8,5.8,10.0,2834600,2589500,102270,25692,117120,314950.0,287720.0,11364.0,2854.7,13014.0,1735000.0,0,0,1131700.0,17,1,1,2,21,,,,632,3358;3933;4149;4889;5369,True;True;True;True;True,3636;3637;4328;4329;4557;5350;5882;5883,7976;7977;7978;7979;9519;9520;9521;9982;11804;11805;11806;11807;11808;11809;11810;13041;13042;13043,9399;9400;9401;9402;11265;11266;11267;11795;11796;11797;14010;14011;14012;14013;14014;14015;14016;14017;15533;15534;15535,9402;11265;11797;14013;15535,422;423;424,63;130;140,Tb927.11.6300,"40S ribosomal protein S5, putative"
633,Tb927.11.6360:mRNA-p1,Tb927.11.6360:mRNA-p1,2,2,2,,1,2,2,2,0,2,0,0,0,2,0,0,0,2,0,0,14.7,14.7,14.7,22.732,191,191,41.0,,,,,,,2.0,,0.0,12.333,,By MS/MS,,,0.0,14.7,0.0,0.0,91743,0,91743,0,0,11468.0,0.0,11468.0,0.0,0.0,0.0,80433,0,0.0,0,2,0,0,2,,,,633,449;1213,True;True,477;1318,1002;2831,1140;3265,1140;3265,425,69,Tb927.11.6360,"60S ribosomal protein L24, putative"
634,Tb927.11.6440:mRNA-p1,Tb927.11.6440:mRNA-p1,4,4,4,,1,4,4,4,4,0,0,0,4,0,0,0,4,0,0,0,11.3,11.3,11.3,48.841,441,441,2.0,,5.0,,,,,,,0.0,31.46,By MS/MS,,,,11.3,0.0,0.0,0.0,899450,899450,0,0,0,44973.0,44973.0,0.0,0.0,0.0,213690.0,0,0,0.0,6,0,0,0,6,,,,634,2360;4004;4087;5522,True;True;True;True,2556;4403;4492;6052,5532;9699;9859;13457;13458,6501;11460;11641;11642;16051;16052,6501;11460;11642;16052,,,Tb927.11.6440,"hypothetical protein, conserved"
635,Tb927.11.6530:mRNA-p1,Tb927.11.6530:mRNA-p1,3,3,3,,1,3,3,3,0,0,0,3,0,0,0,3,0,0,0,3,8.4,8.4,8.4,45.865,415,415,32.0,,,,,,3.0,,,0.0,20.105999999999998,,,,By MS/MS,0.0,0.0,0.0,8.4,119910,0,0,0,119910,4796.6,0.0,0.0,0.0,4796.6,0.0,0,0,82178.0,0,0,0,3,3,,,,635,148;284;4337,True;True;True,156;300;4758,335;637;10428,394;722;12314,394;722;12314,,,Tb927.11.6530,"hypothetical protein, conserved"
636,Tb927.11.6570:mRNA-p1,Tb927.11.6570:mRNA-p1,2,2,2,,1,2,2,2,2,0,0,2,2,0,0,2,2,0,0,2,4.6,4.6,4.6,67.604,609,609,17.0,,2.0,,,,2.0,,,0.0,17.542,By MS/MS,,,By MS/MS,4.6,0.0,0.0,4.6,601650,500110,0,0,101530,27348.0,22732.0,0.0,0.0,4615.1,122120.0,0,0,66274.0,2,0,0,3,5,,,,636,1347;2928,True;True,1470;3173,3140;3141;6921;6922,3594;3595;8180;8181;8182,3594;8180,,,Tb927.11.6570,"Nodulin-like, putative"
637,Tb927.11.6590:mRNA-p1;Tb11.v5.0360.1-p1,Tb927.11.6590:mRNA-p1,8;2,8;2,8;2,,2,8,8,8,4,1,0,7,4,1,0,7,4,1,0,7,21.1,21.1,21.1,55.358999999999995,521,521;216,22.8,,4.0,,,,7.0,,1.0,0.0,55.034,By MS/MS,By MS/MS,,By MS/MS,8.1,2.7,0.0,18.4,1390500,910370,25220,0,454920,55620.0,36415.0,1008.8,0.0,18197.0,334840.0,0,0,193200.0,4,1,0,9,14,,,,637,831;1335;2205;3201;3416;4984;5276;5575,True;True;True;True;True;True;True;True,897;1457;2396;3472;3698;5454;5775;6111,1945;3118;5163;5164;7635;7636;8096;8097;12001;12767;13591;13592,2260;3567;3568;5989;5990;5991;9010;9011;9520;9521;14239;15230;16205;16206,2260;3567;5989;9011;9520;14239;15230;16205,,,Tb927.11.6590,"metallo-peptidase, Clan MF, Family M17"
638,Tb927.11.6850:mRNA-p1,Tb927.11.6850:mRNA-p1,2,2,2,,1,2,2,2,0,2,0,0,0,2,0,0,0,2,0,0,7.9,7.9,7.9,26.513,240,240,41.0,,,,,,,2.0,,0.0,13.807,,By MS/MS,,,0.0,7.9,0.0,0.0,136230,0,136230,0,0,11352.0,0.0,11352.0,0.0,0.0,0.0,119440,0,0.0,0,2,0,0,2,,,,638,4399;5371,True;True,4821;5885,10601;13051,12514;15547,12514;15547,,,Tb927.11.6850,"Optic atrophy 3 protein (OPA3), putative"
639,Tb927.11.6870:mRNA-p1,Tb927.11.6870:mRNA-p1,15,15,15,,1,15,15,15,12,15,6,6,12,15,6,6,12,15,6,6,61.5,61.5,61.5,29.195999999999998,252,252,24.2,16.0,1.0,6.0,,7.0,1.0,25.0,,0.0,185.01,By MS/MS,By MS/MS,By MS/MS,By MS/MS,45.2,61.5,27.4,26.6,18884000,4468400,13207000,648210,560860,1180300.0,279270.0,825440.0,40513.0,35054.0,3725000.0,7618000,2920200,8283700.0,19,38,8,8,73,,,,639,195;288;720;884;885;1022;1034;1309;2270;3181;3745;4351;5677;5891;5892,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,205;206;304;305;773;774;959;960;961;1111;1112;1124;1429;1430;2463;3452;4117;4773;6217;6218;6460;6461,426;427;428;429;430;643;644;1676;1677;1678;2074;2075;2076;2077;2078;2079;2080;2081;2082;2414;2415;2416;2417;2433;3072;3073;3074;3075;3076;5310;5311;5312;5313;5314;5315;5316;7603;7604;7605;9051;9052;9053;10455;10456;10457;13814;13815;13816;13817;14347;14348;14349;14350;14351;14352;14353,496;497;498;499;500;501;502;729;730;731;732;733;1939;1940;1941;2406;2407;2408;2409;2410;2411;2412;2413;2414;2415;2416;2417;2785;2786;2787;2788;2789;2808;2809;3509;3510;3511;3512;3513;3514;6209;6210;6211;6212;6213;6214;6215;6216;6217;6218;8971;8972;8973;10689;10690;12341;12342;12343;16464;16465;16466;16467;17106;17107;17108;17109;17110;17111;17112;17113;17114;17115;17116,497;732;1940;2413;2416;2789;2808;3512;6215;8973;10690;12342;16465;17107;17114,426;427;428;429;430,16;33;159;223;248,Tb927.11.6870,14-3-3 protein 2
640,Tb927.11.700:mRNA-p1,Tb927.11.700:mRNA-p1,1,1,1,,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,3.4,3.4,3.4,38.696999999999996,355,355,2.0,,1.0,,,,,,,0.008647799999999999,6.2589,By MS/MS,,,,3.4,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1,0,0,0,1,,,,640,1769,True,1919,4140,4783,4783,,,Tb927.11.700,"hypothetical protein, conserved"
641,Tb927.11.7020:mRNA-p1,Tb927.11.7020:mRNA-p1,5,5,5,,1,5,5,5,0,5,0,0,0,5,0,0,0,5,0,0,26.7,26.7,26.7,27.865,247,247,41.0,,,,,,,5.0,,0.0,31.843000000000004,,By MS/MS,,,0.0,26.7,0.0,0.0,404980,0,404980,0,0,25311.0,0.0,25311.0,0.0,0.0,0.0,355050,0,0.0,0,7,0,0,7,,,,641,313;2887;3702;4721;5582,True;True;True;True;True,330;3129;4072;5169;6118,698;6846;8931;11344;13603,790;8089;10547;10548;13410;13411;16222,790;8089;10547;13410;16222,,,Tb927.11.7020,"proteasome alpha 7 subunit, putative"
642,Tb927.11.7060:mRNA-p1;Tb927.11.7080:mRNA-p1,Tb927.11.7060:mRNA-p1;Tb927.11.7080:mRNA-p1,2;1,2;1,2;1,;,2,2,2,2,1,0,0,1,1,0,0,1,1,0,0,1,6.8,6.8,6.8,47.32899999999999,414,414;414,17.0,,1.0,,,,1.0,,,0.0,12.719000000000001,By MS/MS,,,By MS/MS,2.9,0.0,0.0,3.9,50271,22066,0,0,28204,2285.0,1003.0,0.0,0.0,1282.0,5242.4,0,0,0.0,1,0,0,1,2,,,,642,2063;5313,True;True,2251;5816,4858;12881,5637;15355,5637;15355,431,321,Tb927.11.7060,acidocalcisomal pyrophosphatase
643,Tb927.11.7140:mRNA-p1,Tb927.11.7140:mRNA-p1,4,4,4,,1,4,4,4,3,1,1,3,3,1,1,3,3,1,1,3,15.3,15.3,15.3,35.476,313,313,15.3,2.0,3.0,1.0,1.0,,3.0,1.0,,0.0,29.186999999999998,By MS/MS,By MS/MS,By MS/MS,By MS/MS,8.9,6.4,3.2,12.5,1007600,723830,55805,63011,164950,53031.0,38096.0,2937.1,3316.4,8681.6,236180.0,0,0,120810.0,4,1,1,5,11,,,,643,1790;2449;2672;5063,True;True;True;True,1944;2652;2897;5544,4194;4195;4196;5798;5799;5800;5801;5802;6399;12198;12199,4840;4841;6828;6829;6830;6831;6832;7531;14479;14480;14481,4840;6829;7531;14480,,,Tb927.11.7140,"cell cycle sequence binding phosphoprotein (RBP45), putative"
644,Tb927.11.7150:mRNA-p1,Tb927.11.7150:mRNA-p1,5,5,5,,1,5,5,5,4,5,1,0,4,5,1,0,4,5,1,0,22.4,22.4,22.4,30.459,281,281,23.7,4.0,,1.0,,,,6.0,,0.0,33.397,By MS/MS,By MS/MS,By MS/MS,,16.7,22.4,3.6,0.0,812940,313470,479240,20233,0,47820.0,18439.0,28191.0,1190.2,0.0,300040.0,360070,0,0.0,6,7,1,0,14,,,,644,1181;2034;2209;5052;5358,True;True;True;True;True,1284;2217;2400;5530;5867;5868,2736;2737;4782;4783;5172;5173;5174;12162;13012;13013;13014,3169;3170;3171;5544;5545;5546;5999;6000;6001;14431;15501;15502;15503;15504,3171;5546;5999;14431;15503,432,12,Tb927.11.7150,NGG1 interacting factor 3-like
645,Tb927.11.7170:mRNA-p1,Tb927.11.7170:mRNA-p1,2,2,2,,1,2,2,2,2,0,0,0,2,0,0,0,2,0,0,0,5.4,5.4,5.4,53.857,479,479,2.0,,2.0,,,,,,,0.0,13.253,By MS/MS,,,,5.4,0.0,0.0,0.0,149650,149650,0,0,0,4534.7,4534.7,0.0,0.0,0.0,35552.0,0,0,0.0,1,0,0,0,1,,,,645,856;5547,True;True,925;6079,2003;13520,2324;16125,2324;16125,,,Tb927.11.7170,seryl-tRNA synthetase
646,Tb927.11.7190.1-p1,Tb927.11.7190.1-p1,2,2,2,,1,2,2,2,1,2,0,0,1,2,0,0,1,2,0,0,8.7,8.7,8.7,24.904,219,219,27.7,1.0,,,,,,2.0,,0.0,12.295,By MS/MS,By MS/MS,,,4.6,8.7,0.0,0.0,227940,80971,146970,0,0,18995.0,6747.6,12248.0,0.0,0.0,0.0,128850,0,0.0,0,3,0,0,3,,,,646,4985;5296,True;True,5455;5798,12002;12820;12821,14240;14241;15292;15293,14241;15293,,,Tb927.11.7190,hypothetical protein
647,Tb927.11.7330:mRNA-p1,Tb927.11.7330:mRNA-p1,1,1,1,,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,3.8,3.8,3.8,23.281,210,210,1.0,1.0,,,,,,,,0.0092951,6.1294,By MS/MS,,,,3.8,0.0,0.0,0.0,71565,71565,0,0,0,7951.7,7951.7,0.0,0.0,0.0,71565.0,0,0,0.0,2,0,0,0,2,,,,647,5675,True,6215,13810,16458;16459,16459,433,149,Tb927.11.7330,"hypothetical protein, conserved"
648,Tb927.11.7390:mRNA-p1,Tb927.11.7390:mRNA-p1,3,3,3,,1,3,3,3,3,1,1,0,3,1,1,0,3,1,1,0,11.2,11.2,11.2,34.924,295,295,11.0,3.0,,1.0,,,,1.0,,0.0,20.055,By MS/MS,By MS/MS,By MS/MS,,11.2,3.7,3.7,0.0,249740,187550,33239,28957,0,15609.0,11722.0,2077.4,1809.8,0.0,187550.0,0,0,0.0,3,1,1,0,5,,,,648,1077;1239;4836,True;True;True,1170;1347;5290,2508;2900;11635;11636;11637,2894;3343;13801;13802;13803,2894;3343;13801,,,Tb927.11.7390,"NADH-ubiquinone oxidoreductase complex I, 21 kDa subunit, putative"
649,Tb927.11.740:mRNA-p1,Tb927.11.740:mRNA-p1,1,1,1,,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,10.2,10.2,10.2,17.82,166,166,14.8,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0025618999999999998,6.8171,By MS/MS,,By MS/MS,By MS/MS,10.2,0.0,10.2,10.2,261300,97596,0,88041,75661,26130.0,9759.6,0.0,8804.1,7566.1,0.0,0,0,382800.0,1,0,1,1,3,,,,649,3469,True,3762,8221;8222;8223;8224;8225;8226,9671;9672;9673,9671,434,71,Tb927.11.740,eukaryotic translation initiation factor 5A
650,Tb927.11.7510:mRNA-p1;Tb927.11.7460:mRNA-p1,Tb927.11.7510:mRNA-p1;Tb927.11.7460:mRNA-p1,2;2,2;2,2;2,;,2,2,2,2,2,0,0,0,2,0,0,0,2,0,0,0,3.8,3.8,3.8,71.434,653,653;653,1.67,1.0,2.0,,,,,,,0.0,12.809000000000001,By MS/MS,,,,3.8,0.0,0.0,0.0,145260,145260,0,0,0,4034.9,4034.9,0.0,0.0,0.0,74744.0,0,0,0.0,2,0,0,0,2,,,,650,673;2635,True;True,721;2858,1570;1571;6321,1835;7445,1835;7445,,,Tb927.11.7510,"luminal binding protein 1 (BiP), putative"
651,Tb927.11.7470:mRNA-p1,Tb927.11.7470:mRNA-p1,2,2,2,,1,2,2,2,1,2,0,0,1,2,0,0,1,2,0,0,10.5,10.5,10.5,26.198,247,247,27.7,1.0,,,,,,2.0,,0.0,13.388,By MS/MS,By MS/MS,,,4.9,10.5,0.0,0.0,352670,34480,318190,0,0,27128.0,2652.3,24476.0,0.0,0.0,0.0,278960,0,0.0,1,4,0,0,5,,,,651,3207;5384,True;True,3478;5899,7647;13075;13076,9023;9024;9025;15590;15591,9024;15591,,,Tb927.11.7470,"hypothetical protein, conserved"
652,Tb927.11.7500:mRNA-p1;Tb927.11.7490:mRNA-p1,Tb927.11.7500:mRNA-p1;Tb927.11.7490:mRNA-p1,1;1,1;1,1;1,;,2,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,7.8,7.8,7.8,13.594000000000001,129,129;129,1.5,1.0,1.0,,,,,,,0.0064,6.3538,By MS/MS,,,,7.8,0.0,0.0,0.0,167950,167950,0,0,0,41988.0,41988.0,0.0,0.0,0.0,124800.0,0,0,0.0,2,0,0,0,2,,,,652,2320,True,2515,5459;5460,6409;6410,6409,,,Tb927.11.7500,"Protein of unknown function (DUF423), putative"
653,Tb927.11.7520:mRNA-p1,Tb927.11.7520:mRNA-p1,1,1,1,,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,3.3,3.3,3.3,40.556999999999995,364,364,2.0,,1.0,,,,,,,0.0064464,6.401,By MS/MS,,,,3.3,0.0,0.0,0.0,41245,41245,0,0,0,2062.2,2062.2,0.0,0.0,0.0,9798.8,0,0,0.0,1,0,0,0,1,,,,653,4029,True,4433,9738,11508,11508,,,Tb927.11.7520,"hypothetical protein, conserved"
654,Tb927.11.7560:mRNA-p1,Tb927.11.7560:mRNA-p1,6,6,6,,1,6,6,6,0,0,0,6,0,0,0,6,0,0,0,6,11.0,11.0,11.0,67.695,629,629,32.0,,,,,,6.0,,,0.0,39.943000000000005,,,,By MS/MS,0.0,0.0,0.0,11.0,289250,0,0,0,289250,8264.3,0.0,0.0,0.0,8264.3,0.0,0,0,198220.0,0,0,0,5,5,,,,654,1911;2613;3051;3357;3590;4659,True;True;True;True;True;True,2076;2835;3306;3635;3943;5101,4460;6282;7272;7975;8640;11208,5150;7399;8584;9398;10172;13252,5150;7399;8584;9398;10172;13252,,,Tb927.11.7560,predicted WD40 repeat protein
655,Tb927.11.760:mRNA-p1,Tb927.11.760:mRNA-p1,8,8,8,,1,8,8,8,8,0,0,0,8,0,0,0,8,0,0,0,21.3,21.3,21.3,45.599,408,408,1.8,2.0,8.0,,,,,,,0.0,56.861000000000004,By MS/MS,,,,21.3,0.0,0.0,0.0,1487000,1487000,0,0,0,55073.0,55073.0,0.0,0.0,0.0,361910.0,0,0,0.0,8,0,0,0,8,,,,655,778;890;1291;1310;1858;5100;5150;5695,True;True;True;True;True;True;True;True,837;966;1410;1431;2018;2019;5585;5639;6238,1796;2088;3044;3045;3077;4343;4344;12321;12439;13855,2079;2424;3480;3515;5009;5010;14717;14850;16512,2079;2424;3480;3515;5010;14717;14850;16512,435;436,242;315,Tb927.11.760,"protein phosphatase 2C, putative"
656,Tb927.11.7685:mRNA-p1;Tb927.11.7675:mRNA-p1,Tb927.11.7685:mRNA-p1;Tb927.11.7675:mRNA-p1,2;2,2;2,2;2,;,2,2,2,2,2,1,0,0,2,1,0,0,2,1,0,0,17.1,17.1,17.1,13.354000000000001,117,117;117,12.7,3.0,2.0,,,,,2.0,,0.0,12.25,By MS/MS,By MS/MS,,,17.1,8.5,0.0,0.0,390730,295140,95596,0,0,78146.0,59027.0,19119.0,0.0,0.0,206250.0,103290,0,0.0,4,3,0,0,7,,,,656,903;5504,True;True,982;6034,2123;13409;13410;13411;13412;13413;13414,2466;15993;15994;15995;15996;15997;15998,2466;15997,,,Tb927.11.7685,ribosomal protein S10p/S20
657,Tb927.11.770.1:mRNA-p1;Tb927.11.770.2:mRNA-p1,Tb927.11.770.1:mRNA-p1;Tb927.11.770.2:mRNA-p1,2;2,2;2,2;2,;,2,2,2,2,1,1,0,0,1,1,0,0,1,1,0,0,9.0,9.0,9.0,27.081999999999997,245,245;324,21.0,1.0,,,,,,1.0,,0.0,12.187000000000001,By MS/MS,By MS/MS,,,3.7,5.3,0.0,0.0,93640,50224,43415,0,0,7803.3,4185.4,3617.9,0.0,0.0,0.0,38063,0,0.0,1,1,0,0,2,,,,657,1305;3190,True;True,1425;3461,3067;7617,3505;8990,3505;8990,,,Tb927.11.770,"hypothetical protein, conserved"
658,Tb927.11.7780:mRNA-p1,Tb927.11.7780:mRNA-p1,9,9,9,,1,9,9,9,1,1,0,9,1,1,0,9,1,1,0,9,31.0,31.0,31.0,46.236999999999995,419,419,30.2,,1.0,,,,9.0,,1.0,0.0,66.484,By MS/MS,By MS/MS,,By MS/MS,2.6,2.9,0.0,31.0,1149200,44227,64921,0,1040000,49964.0,1922.9,2822.7,0.0,45219.0,0.0,0,0,712740.0,1,2,0,11,14,,,,658,265;342;1925;2818;3482;4306;4827;5092;5685,True;True;True;True;True;True;True;True;True,281;360;2091;3059;3781;4721;5280;5576;6228,595;750;4482;6735;6736;8253;8254;10337;11606;12295;13838,676;677;843;5181;7948;7949;7950;7951;9703;9704;9705;12195;13767;14687;14688;16493,676;843;5181;7951;9703;12195;13767;14687;16493,437,1,Tb927.11.7780,Mitochondrial import receptor subunit ATOM46
659,Tb927.11.8030:mRNA-p1,Tb927.11.8030:mRNA-p1,3,3,3,,1,3,3,3,1,0,0,3,1,0,0,3,1,0,0,3,12.5,12.5,12.5,46.474,417,417,24.5,,1.0,,,,3.0,,,0.0,20.109,By MS/MS,,,By MS/MS,3.6,0.0,0.0,12.5,176190,40940,0,0,135250,8008.5,1860.9,0.0,0.0,6147.5,0.0,0,0,92685.0,1,0,0,4,5,,,,659,287;725;1146,True;True;True,303;779;1247,641;642;1692;2668,727;728;1953;1954;3091,728;1953;3091,,,Tb927.11.8030,"hypothetical protein, conserved"
660,Tb927.11.8090:mRNA-p1,Tb927.11.8090:mRNA-p1,6,6,5,,1,6,6,5,2,5,0,0,2,5,0,0,1,5,0,0,24.4,24.4,21.5,34.443000000000005,303,303,26.1,2.0,1.0,,,,,5.0,,0.0,40.107,By MS/MS,By MS/MS,,,7.3,21.5,0.0,0.0,575470,124530,450950,0,0,38365.0,8301.8,30063.0,0.0,0.0,0.0,395350,0,0.0,2,7,0,0,9,,,,660,238;1184;2173;2679;4071;4587,True;True;True;True;True;True,250;1287;2364;2905;4476;5021,528;2740;5096;5097;6408;6409;9839;11014,606;607;3174;5913;5914;5915;7541;11620;13005,607;3174;5914;7541;11620;13005,,,Tb927.11.8090,"protein phosphatase 1, putative"
661,Tb927.11.8120:mRNA-p1,Tb927.11.8120:mRNA-p1,2,2,2,,1,2,2,2,0,2,0,0,0,2,0,0,0,2,0,0,10.7,10.7,10.7,35.125,327,327,41.0,,,,,,,2.0,,0.0,14.282,,By MS/MS,,,0.0,10.7,0.0,0.0,97116,0,97116,0,0,7470.5,0.0,7470.5,0.0,0.0,0.0,85143,0,0.0,0,2,0,0,2,,,,661,3374;4445,True;True,3653;4870,8008;10685,9431;12615,9431;12615,,,Tb927.11.8120,"protein transport protein SEC13, putative"
662,Tb927.11.8180:mRNA-p1,Tb927.11.8180:mRNA-p1,6,6,6,,1,6,6,6,5,5,2,0,5,5,2,0,5,5,2,0,25.2,25.2,25.2,31.116999999999997,282,282,17.9,6.0,,2.0,,,,5.0,,0.0,58.626000000000005,By MS/MS,By MS/MS,By MS/MS,,19.9,21.3,8.2,0.0,2150100,1480600,413790,255700,0,134380.0,92537.0,25862.0,15981.0,0.0,1263800.0,317400,1207500,0.0,5,5,2,0,12,,,,662,750;843;2559;2912;4328;5438,True;True;True;True;True;True,807;911;2778;3157;4744;5960,1749;1750;1970;1971;1972;6126;6899;6900;6901;10385;10386;10387;13227,2027;2028;2285;2286;2287;7221;8156;8157;8158;12251;12252;12253;15771,2027;2285;7221;8157;12252;15771,,,Tb927.11.8180,"hypothetical protein, conserved"
663,Tb927.11.8320:mRNA-p1,Tb927.11.8320:mRNA-p1,3,3,3,,1,3,3,3,3,0,0,0,3,0,0,0,3,0,0,0,8.1,8.1,8.1,47.87,434,434,1.75,1.0,3.0,,,,,,,0.0,17.927,By MS/MS,,,,8.1,0.0,0.0,0.0,295510,295510,0,0,0,11366.0,11366.0,0.0,0.0,0.0,114600.0,0,0,0.0,4,0,0,0,4,,,,663,1652;3192;4527,True;True;True,1796;3463;4956,3844;7619;7620;10868,4429;4430;8993;12810,4430;8993;12810,,,Tb927.11.8320,"hypothetical protein, conserved"
664,Tb927.11.8350:mRNA-p1,Tb927.11.8350:mRNA-p1,2,1,1,,1,2,1,1,2,1,0,1,1,0,0,0,1,0,0,0,4.7,2.5,2.5,62.457,554,554,2.0,,1.0,,,,,,,0.0017271,6.8677,By MS/MS,By matching,,By matching,4.7,2.2,0.0,2.2,90701,90701,0,0,0,2925.8,2925.8,0.0,0.0,0.0,21549.0,0,0,0.0,1,0,0,0,1,,,,664,2158;2852,False;True,2349;3093,5068;5069;5070;5071;5072;6781,5884;5885;5886;8010,5885;8010,,,Tb927.11.8350,"katanin, putative"
665,Tb927.11.8450:mRNA-p1,Tb927.11.8450:mRNA-p1,2,2,2,,1,2,2,2,2,0,0,0,2,0,0,0,2,0,0,0,10.0,10.0,10.0,32.251,299,299,1.0,2.0,,,,,,,,0.0,13.489,By MS/MS,,,,10.0,0.0,0.0,0.0,119720,119720,0,0,0,8551.3,8551.3,0.0,0.0,0.0,119720.0,0,0,0.0,3,0,0,0,3,,,,665,1498;2042,True;True,1635;2226,3500;4795,4023;5560;5561,4023;5560,,,Tb927.11.8450,"Amastin surface glycoprotein, putative"
