Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 1	Razor + unique peptides 1	Unique peptides 1	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Q-value	Score	Identification type 1	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L iso-count	Ratio H/L type	Ratio H/L 1	Ratio H/L normalized 1	Ratio H/L variability [%] 1	Ratio H/L count 1	Ratio H/L iso-count 1	Ratio H/L type 1	Sequence coverage 1 [%]	Intensity	Intensity L	Intensity H	Intensity 1	Intensity L 1	Intensity H 1	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
Tb927.6.5080:mRNA-p1	Tb927.6.5080:mRNA-p1	4	4	4		1	4	4	4	4	4	4	6.9	6.9	6.9	65.003	566	566	2		5					0	16.569	By MS/MS	1.1618	1.1313	10.788	2	1	Median	1.1618	1.1313	10.788	2	1	Median	6.9	1993000	858100	1134900	1993000	858100	1134900				1623	2214;4713;8023;8131	True;True;True;True	2323;4911;8420;8533	3070;6577;6578;11315;11470	4262;9102;9103;15567;15818;15819	4262;9103;15567;15819		
Tb927.6.5110:mRNA-p1	Tb927.6.5110:mRNA-p1	6	6	6		1	6	6	6	6	6	6	4.7	4.7	4.7	138.21	1270	1270	1	7						0	12.654	By MS/MS	1.1362	1.1106	14.659	4	1	Leave out requantified	1.1362	1.1106	14.659	4	1	Leave out requantified	4.7	2183800	1122600	1061200	2183800	1122600	1061200				1624	2238;2604;4115;4946;4962;6004	True;True;True;True;True;True	2347;2725;4290;5155;5171;6328	3098;3588;5749;6907;6930;8484;8485	4303;4304;4995;4996;8049;8050;9546;9573;11691;11692	4303;4995;8050;9546;9573;11691		
Tb927.6.560:mRNA-p1	Tb927.6.560:mRNA-p1	1	1	1		1	1	1	1	1	1	1	4.4	4.4	4.4	37.223	340	340	4.33				2	1		0	4.8571	By MS/MS	1.2982	1.2665	17.528	3	0	Median	1.2982	1.2665	17.528	3	0	Median	4.4	709970	293160	416810	709970	293160	416810				1625	7244	True	7608;7609	10213;10214;10215	14024;14025;14026;14027;14028	14028	866	244
Tb927.6.570:mRNA-p1	Tb927.6.570:mRNA-p1	2	2	2		1	2	2	2	2	2	2	14.9	14.9	14.9	13.764	121	121	6						2	0.00056948	2.3145	By MS/MS	1.1074	1.1116	10.607	2	0	Median	1.1074	1.1116	10.607	2	0	Median	14.9	205230	97291	107940	205230	97291	107940				1626	2731;5454	True;True	2854;5688	3772;7558	5274;5275;10406	5274;10406	867	1
Tb927.6.600:mRNA-p1	Tb927.6.600:mRNA-p1	2	2	2		1	2	2	2	2	2	2	8.5	8.5	8.5	38.863	351	351	4				3			0	8.0376	By MS/MS	1.0722	1.0432	7.8164	2	0	Median	1.0722	1.0432	7.8164	2	0	Median	8.5	675900	340550	335350	675900	340550	335350				1627	316;7119	True;True	325;7477	442;10019;10020	626;13734;13735;13736	626;13736		
Tb927.6.610:mRNA-p1	Tb927.6.610:mRNA-p1	1	1	1		1	1	1	1	1	1	1	2.2	2.2	2.2	64.961	579	579	2		1					1	-2	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	2.2	27744	17373	10371	27744	17373	10371	+			1628	1682	True	1761	2336	3198	3198	868	420
Tb927.6.630:mRNA-p1	Tb927.6.630:mRNA-p1	1	1	1		1	1	1	1	1	1	1	1.4	1.4	1.4	78.795	730	730	1	1						0.0034965	1.4562	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	1.4	108370	56021	52351	108370	56021	52351				1629	1275	True	1331	1781	2465;2466	2465		
Tb927.6.640:mRNA-p1	Tb927.6.640:mRNA-p1	4	4	4		1	4	4	4	4	4	4	6.9	6.9	6.9	79.106	734	734	2		4					0	41.09	By MS/MS	0.97253	0.9433	1.96	2	0	Median	0.97253	0.9433	1.96	2	0	Median	6.9	514000	246180	267820	514000	246180	267820				1630	3107;3344;4414;7062	True;True;True;True	3251;3495;4602;7420	4304;4642;6169;9948	5992;6460;6461;8550;13639;13640	5992;6461;8550;13640		
Tb927.6.670:mRNA-p1	Tb927.6.670:mRNA-p1	2	2	2		1	2	2	2	2	2	2	5.8	5.8	5.8	38.808	363	363	4				2			0	4.0813	By MS/MS	0.97846	0.97233	7.0313	2	0	Median	0.97846	0.97233	7.0313	2	0	Median	5.8	374060	191600	182460	374060	191600	182460				1631	72;5833	True;True	74;6146	93;8195	131;132;11301;11302	131;11301		
Tb927.6.700:mRNA-p1	Tb927.6.700:mRNA-p1	7	7	7		1	7	7	7	7	7	7	9.6	9.6	9.6	105.91	966	966	1.57	6				1		0	53.608	By MS/MS	1.196	1.1929	0.4901	4	1	Leave out requantified	1.196	1.1929	0.4901	4	1	Leave out requantified	9.6	1929800	899340	1030500	1929800	899340	1030500				1632	2;544;2873;3339;4674;8595;9131	True;True;True;True;True;True;True	4;561;3000;3490;4870;9024;9591	4;743;3971;4636;6522;12133;12881	6;7;1046;1047;5550;6452;9029;16747;17795	6;1047;5550;6452;9029;16747;17795		
Tb927.6.730:mRNA-p1	Tb927.6.730:mRNA-p1	2	2	2		1	2	2	2	2	2	2	4.2	4.2	4.2	65.275	594	594	2		2					0	5.7177	By MS/MS	0.71007	0.67014	26.919	2	0	Median	0.71007	0.67014	26.919	2	0	Median	4.2	621440	356350	265100	621440	356350	265100				1633	1685;8766	True;True	1764;9203	2339;12375	3202;3203;17094	3203;17094		
Tb927.6.740:mRNA-p1	Tb927.6.740:mRNA-p1	5	5	5		1	5	5	5	5	5	5	4.7	4.7	4.7	139.08	1251	1251	1	5						0	9.1495	By MS/MS	1.0372	1.0449	5.8289	2	1	Median	1.0372	1.0449	5.8289	2	1	Median	4.7	538790	251930	286860	538790	251930	286860				1634	1251;2602;3345;6947;8604	True;True;True;True;True	1305;2723;3496;7299;9034	1743;3586;4643;9774;12144	2403;2404;4993;6462;13403;16763	2404;4993;6462;13403;16763		
Tb927.6.820:mRNA-p1;Tb11.v5.0730.1-p1;Tb927.7.4730:mRNA-p1;Tb11.v5.0156.1-p1	Tb927.6.820:mRNA-p1	15;3;1;1	15;3;1;1	15;3;1;1		4	15	15	15	15	15	15	17.1	17.1	17.1	111.38	1033	1033;297;430;430	1.7	17	1		5			0	54.572	By MS/MS	0.85286	0.81355	10.791	18	1	Leave out requantified	0.85286	0.81355	10.791	18	1	Leave out requantified	17.1	16377000	8384900	7992000	16377000	8384900	7992000				1635	874;1539;2306;2573;2867;3118;3357;3846;4490;4794;5007;5188;7082;7182;7411	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	906;1614;2417;2694;2994;3262;3508;4008;4680;4993;5218;5402;7440;7543;7787	1203;2136;3189;3551;3955;4318;4659;5347;6276;6277;6699;6992;7219;7220;7221;7222;9973;10109;10110;10111;10112;10459;10460	1671;1672;2933;4426;4938;4939;5528;6006;6487;7473;7474;8700;8701;9255;9663;9664;9954;9955;9956;9957;9958;9959;13673;13852;13853;13854;13855;14357;14358;14359;14360	1671;2933;4426;4939;5528;6006;6487;7473;8701;9255;9664;9957;13673;13854;14358		
Tb927.6.850:mRNA-p1;Tb11.v5.0689.1-p1	Tb927.6.850:mRNA-p1;Tb11.v5.0689.1-p1	5;4	5;4	5;4	;	2	5	5	5	5	5	5	20	20	20	37.396	330	330;413	4				7			0	43.692	By MS/MS	0.95679	0.94409	34.604	4	1	Median	0.95679	0.94409	34.604	4	1	Median	20	3166100	1347500	1818600	3166100	1347500	1818600				1636	1320;2823;4522;6556;8777	True;True;True;True;True	1377;2950;4712;4713;6894;9215	1832;3889;6316;6317;9197;9198;12390	2533;5436;5437;8749;8750;12640;12641;17116	2533;5436;8749;12641;17116	869	275
Tb927.6.870:mRNA-p1	Tb927.6.870:mRNA-p1	2	2	2		1	2	2	2	2	2	2	1.4	1.4	1.4	194.22	1772	1772	1	2						0	3.6029	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	1.4	201710	102180	99532	201710	102180	99532				1637	1220;4402	True;True	1273;4590	1703;6153	2349;2350;8533	2350;8533		
Tb927.6.950:mRNA-p1	Tb927.6.950:mRNA-p1	6	6	6		1	6	6	6	6	6	6	7.9	7.9	7.9	89.376	785	785	1	6						0	11.766	By MS/MS	1.0314	1.0253	37.67	5	0	Leave out requantified	1.0314	1.0253	37.67	5	0	Leave out requantified	7.9	1998800	1013000	985810	1998800	1013000	985810				1638	971;1119;2160;5172;6963;8653	True;True;True;True;True;True	1006;1165;2267;5385;7315;9086	1354;1558;2981;7197;9793;12211	1897;2163;4146;4147;9926;9927;13428;16864;16865	1897;2163;4146;9927;13428;16865		
Tb927.7.1030:mRNA-p1	Tb927.7.1030:mRNA-p1	1	1	1		1	1	1	1	1	1	1	2	2	2	96.895	870	870	1	1						0.0064039	1.3731	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	2	414800	185360	229440	414800	185360	229440				1639	720	True	745	985	1377	1377		
Tb927.7.1050:mRNA-p1;Tb927.7.1040:mRNA-p1	Tb927.7.1050:mRNA-p1;Tb927.7.1040:mRNA-p1	7;7	7;7	7;7	;	2	7	7	7	7	7	7	37.6	37.6	37.6	16.998	149	149;149	5.56				2		7	0	26.108	By MS/MS	0.87252	0.90174	13.203	6	0	Leave out requantified	0.87252	0.90174	13.203	6	0	Leave out requantified	37.6	15928000	8583500	7344100	15928000	8583500	7344100				1640	2461;2943;3215;3943;4293;7285;8555	True;True;True;True;True;True;True	2577;3073;3363;4115;4476;7651;8982	3402;4081;4460;4461;4462;5499;5996;10275;12085	4731;4732;5687;5688;6202;6203;6204;6205;7704;7705;8333;14105;16687	4732;5687;6202;7705;8333;14105;16687		
Tb927.7.1060:mRNA-p1	Tb927.7.1060:mRNA-p1	2	2	2		1	2	2	2	2	2	2	6.3	6.3	6.3	53.733	494	494	2		2					0	11.103	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	6.3	391030	229210	161810	391030	229210	161810				1641	5673;6819	True;True	5980;7169	7939;9610	10947;13182;13183	10947;13183		
Tb927.7.1130:mRNA-p1	Tb927.7.1130:mRNA-p1	1	1	1		1	1	1	1	1	1	1	7.1	7.1	7.1	18.873	169	169	6						1	0	29.642	By MS/MS	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	7.1	0	0	0	0	0	0				1642	2908	True	3037	4040	5635	5635		
Tb927.7.1170:mRNA-p1	Tb927.7.1170:mRNA-p1	1	1	1		1	1	1	1	1	1	1	5	5	5	17.943	159	159	6						1	0.0086957	1.2696	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	5	528050	252470	275570	528050	252470	275570				1643	1622	True	1700	2266	3105;3106	3105		
Tb927.7.1220:mRNA-p1	Tb927.7.1220:mRNA-p1	11	11	11		1	11	11	11	11	11	11	11.1	11.1	11.1	117.94	1074	1074	1	11						0	27.678	By MS/MS	0.81126	0.80807	6.8984	7	0	Leave out requantified	0.81126	0.80807	6.8984	7	0	Leave out requantified	11.1	5298700	2893500	2405100	5298700	2893500	2405100				1644	23;834;2159;2435;3554;5040;5909;5932;6085;7229;8466	True;True;True;True;True;True;True;True;True;True;True	25;863;2266;2551;3707;5251;6229;6252;6412;7593;8890	32;1139;2980;3355;4924;7028;8342;8377;8583;10195;11965	45;1577;4144;4145;4655;4656;6860;9712;11504;11550;11826;11827;13998;13999;16517;16518	45;1577;4144;4656;6860;9712;11504;11550;11826;13998;16517		
Tb927.7.1240:mRNA-p1	Tb927.7.1240:mRNA-p1	1	1	1		1	1	1	1	1	1	1	1.2	1.2	1.2	83.577	769	769	1	1						0.00054466	2.0093	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	1.2	384470	217970	166500	384470	217970	166500				1645	6532	True	6869	9161	12591;12592	12592		
Tb927.7.1270:mRNA-p1;Tb927.7.1250:mRNA-p1	Tb927.7.1270:mRNA-p1;Tb927.7.1250:mRNA-p1	3;3	3;3	3;3	;	2	3	3	3	3	3	3	11.3	11.3	11.3	35.715	328	328;328	4				4			0	9.5224	By MS/MS	1.1867	1.1765	11.385	4	0	Leave out requantified	1.1867	1.1765	11.385	4	0	Leave out requantified	11.3	2627700	1177800	1449900	2627700	1177800	1449900				1646	399;4066;9101	True;True;True	409;4241;9554;9555	543;5686;12836;12837	763;7958;7959;17729;17730;17731	763;7958;17730	870	91
Tb927.7.1300:mRNA-p1	Tb927.7.1300:mRNA-p1	7	7	7		1	7	7	7	7	7	7	20.2	20.2	20.2	41.939	377	377	4				8			0	25.994	By MS/MS	1.1394	1.1357	12.254	2	0	Median	1.1394	1.1357	12.254	2	0	Median	20.2	1496400	677640	818740	1496400	677640	818740				1647	278;498;2492;3016;3094;9064;9250	True;True;True;True;True;True;True	287;512;513;2612;3146;3238;9513;9719	389;690;691;3444;4163;4286;12778;13036	551;975;976;4792;5801;5802;5969;17638;18005	551;976;4792;5801;5969;17638;18005	871;872	158;324
Tb927.7.1370:mRNA-p1	Tb927.7.1370:mRNA-p1	4	4	4		1	4	4	4	4	4	4	11.2	11.2	11.2	68.826	605	605	2		4					0	14.041	By MS/MS	0.85251	0.83371	6.6594	4	1	Leave out requantified	0.85251	0.83371	6.6594	4	1	Leave out requantified	11.2	1384100	867060	517000	1384100	867060	517000				1648	233;1884;5307;8939	True;True;True;True	241;1972;5528;9380	332;2618;7373;12590	471;3638;10166;17397;17398	471;3638;10166;17398		
Tb927.7.1380:mRNA-p1	Tb927.7.1380:mRNA-p1	1	1	1		1	1	1	1	1	1	1	7.3	7.3	7.3	16.523	151	151	6						1	0	11.161	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	7.3	660780	337340	323440	660780	337340	323440				1649	4880	True	5081	6803	9407;9408	9407		
Tb927.7.1500:mRNA-p1	Tb927.7.1500:mRNA-p1	2	2	2		1	2	2	2	2	2	2	5.2	5.2	5.2	30.73	289	289	4				2			0	2.5802	By MS/MS	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	5.2	0	0	0	0	0	0				1650	4301;7756	True;True	4485;8146	6005;10965	8342;15049	8342;15049		
Tb927.7.1550:mRNA-p1	Tb927.7.1550:mRNA-p1	2	2	2		1	2	2	2	2	2	2	5.1	5.1	5.1	56.531	487	487	3			2				0.00055741	2.1551	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	5.1	89701	46255	43446	89701	46255	43446				1651	1378;5888	True;True	1439;6207	1904;8309	2625;2626;11463	2625;11463		
Tb927.7.1600:mRNA-p1	Tb927.7.1600:mRNA-p1	1	1	1		1	1	1	1	1	1	1	3.7	3.7	3.7	31.931	298	298	4				1			0.00052743	1.7565	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	3.7	220850	92525	128330	220850	92525	128330				1652	1975	True	2068	2734	3807	3807		
Tb927.7.1610:mRNA-p1	Tb927.7.1610:mRNA-p1	9	9	9		1	9	9	9	9	9	9	17	17	17	72.906	653	653	2		9					0	16.021	By MS/MS	1.0329	0.98245	21.929	6	0	Leave out requantified	1.0329	0.98245	21.929	6	0	Leave out requantified	17	3939300	1940100	1999200	3939300	1940100	1999200				1653	385;1205;3661;5022;5401;5855;6675;7849;8635	True;True;True;True;True;True;True;True;True	395;1258;3818;5233;5625;6174;7015;8241;9066	522;1683;5079;7009;7480;8264;9346;11083;12186	729;730;2327;7084;9688;10308;10309;11407;12848;12849;15223;16832;16833	730;2327;7084;9688;10308;11407;12849;15223;16832	873;874	24;47
Tb927.7.1620:mRNA-p1	Tb927.7.1620:mRNA-p1	2	2	2		1	2	2	2	2	2	2	9.3	9.3	9.3	32.703	300	300	4				2			0	6.8297	By MS/MS	1.303	1.2613	20.057	2	0	Median	1.303	1.2613	20.057	2	0	Median	9.3	483070	189330	293740	483070	189330	293740				1654	8345;9030	True;True	8756;9476	11779;12737	16243;16244;17585;17586	16243;17586		
Tb927.7.1640:mRNA-p1	Tb927.7.1640:mRNA-p1	6	6	6		1	6	6	6	6	6	6	12.7	12.7	12.7	65.504	576	576	2		7					0	13.827	By MS/MS	1.0368	0.9868	9.603	5	2	Leave out requantified	1.0368	0.9868	9.603	5	2	Leave out requantified	12.7	1864000	875560	988410	1864000	875560	988410				1655	4683;5423;5953;6708;7073;9123	True;True;True;True;True;True	4879;5652;6274;7050;7431;9582	6533;7517;8403;8404;9412;9962;12870	9042;9043;10352;11582;11583;12932;13655;13656;17780	9042;10352;11582;12932;13655;17780	875	224
Tb927.7.1750:mRNA-p1;Tb927.7.1740:mRNA-p1;Tb927.7.1730:mRNA-p1;REV__Tb927.3.3460:mRNA-p1	Tb927.7.1750:mRNA-p1;Tb927.7.1740:mRNA-p1;Tb927.7.1730:mRNA-p1	8;8;8;1	8;8;8;1	8;8;8;1	;;	4	8	8	8	8	8	8	32.2	32.2	32.2	27.713	242	242;242;242;483	3.16	4	4	4	10	3		0	24.953	By MS/MS	0.95555	0.95648	2.9487	17	6	Leave out requantified	0.95555	0.95648	2.9487	17	6	Leave out requantified	32.2	21084000	12931000	8153100	21084000	12931000	8153100				1656	884;3482;3483;4072;4239;4947;6182;7809	True;True;True;True;True;True;True;True	916;3635;3636;4247;4420;5156;6512;8200	1220;1221;1222;1223;1224;1225;4826;4827;4828;4829;4830;4831;5697;5698;5699;5922;6908;6909;6910;8702;8703;11033;11034;11035;11036	1690;1691;1692;1693;1694;1695;1696;1697;1698;1699;1700;1701;1702;6732;6733;6734;6735;6736;6737;6738;6739;7974;7975;7976;8257;9547;9548;9549;11986;11987;11988;15148;15149;15150;15151	1701;6735;6739;7976;8257;9549;11986;15149	876;877	123;126
Tb927.7.1790:mRNA-p1	Tb927.7.1790:mRNA-p1	2	2	2		1	2	2	2	2	2	2	10.9	10.9	10.9	25.624	230	230	5					3		0	5.9638	By MS/MS	1.1665	1.2188	7.8172	3	1	Median	1.1665	1.2188	7.8172	3	1	Median	10.9	2237200	1014400	1222800	2237200	1014400	1222800				1657	1620;7027	True;True	1698;7383	2263;2264;9882	3100;3101;3102;13557	3101;13557		
Tb927.7.1870:mRNA-p1;Tb927.7.1830:mRNA-p1	Tb927.7.1870:mRNA-p1;Tb927.7.1830:mRNA-p1	2;2	2;2	2;2	;	2	2	2	2	2	2	2	8.2	8.2	8.2	40.864	366	366;366	4				2			0	7.8646	By MS/MS	1.3011	1.2698	1.6809	2	0	Median	1.3011	1.2698	1.6809	2	0	Median	8.2	619920	266830	353090	619920	266830	353090				1658	65;6468	True;True	67;6803	84;9082	114;115;12487;12488	115;12487		
Tb927.7.1910:mRNA-p1	Tb927.7.1910:mRNA-p1	1	1	1		1	1	1	1	1	1	1	0.9	0.9	0.9	106.29	970	970	1	1						0.0005339	1.8692	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	0.9	225570	112420	113140	225570	112420	113140				1659	4332	True	4518	6055	8399;8400	8399		
Tb927.7.1920:mRNA-p1	Tb927.7.1920:mRNA-p1	5	5	5		1	5	5	5	5	5	5	14.4	14.4	14.4	59.271	543	543	2		5					0	19.85	By MS/MS	1.314	1.3066	22.225	3	1	Median	1.314	1.3066	22.225	3	1	Median	14.4	1578700	768820	809880	1578700	768820	809880				1660	2994;4073;4383;4487;7688	True;True;True;True;True	3124;4248;4570;4677;8077	4136;5700;6133;6270;10879	5766;5767;7977;8506;8507;8688;14938	5767;7977;8506;8688;14938		
Tb927.7.2070:mRNA-p1	Tb927.7.2070:mRNA-p1	5	5	5		1	5	5	5	5	5	5	13.7	13.7	13.7	36.377	328	328	4				6			0	15.37	By MS/MS	1.0058	1.0136	25.309	4	1	Leave out requantified	1.0058	1.0136	25.309	4	1	Leave out requantified	13.7	3973700	1999000	1974700	3973700	1999000	1974700				1661	2315;2389;3693;7736;8755	True;True;True;True;True	2426;2504;3851;8126;9191	3199;3300;5123;5124;10940;12359	4442;4582;7151;7152;15016;17073	4442;4582;7151;15016;17073	878	244
Tb927.7.210:mRNA-p1	Tb927.7.210:mRNA-p1	12	12	12		1	12	12	12	12	12	12	24.1	24.1	24.1	63.858	556	556	1.94	1	15					0	46.256	By MS/MS	0.94758	0.90071	11.989	9	2	Leave out requantified	0.94758	0.90071	11.989	9	2	Leave out requantified	24.1	18350000	8992700	9356900	18350000	8992700	9356900				1662	189;219;292;576;3305;6316;6888;6955;7812;7955;8564;8661	True;True;True;True;True;True;True;True;True;True;True;True	195;226;301;593;3455;6649;7238;7307;8203;8348;8991;9094;9095	272;310;414;781;4588;8894;9704;9783;11039;11040;11223;11224;12097;12222;12223;12224	388;436;589;1094;1095;6377;6378;12227;13305;13415;15155;15156;15429;15430;15431;15432;16702;16703;16880;16881;16882;16883	388;436;589;1095;6377;12227;13305;13415;15156;15429;16702;16882	879;880	191;528
Tb927.7.2100:mRNA-p1	Tb927.7.2100:mRNA-p1	3	3	3		1	3	3	3	3	3	3	5	5	5	71.794	658	658	2		3					0	7.7554	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	5	496420	209570	286850	496420	209570	286850				1663	4379;4623;5177	True;True;True	4566;4817;5391	6127;6461;7203	8499;8948;9937	8499;8948;9937		
Tb927.7.2120:mRNA-p1	Tb927.7.2120:mRNA-p1	9	9	9		1	9	9	9	9	9	9	24.1	24.1	24.1	46.084	415	415	4.07			9			5	0	27.937	By MS/MS	1.0415	1.0483	7.9863	9	0	Leave out requantified	1.0415	1.0483	7.9863	9	0	Leave out requantified	24.1	3004800	1421300	1583500	3004800	1421300	1583500				1664	17;2795;5214;5318;5478;6245;6252;7054;7566	True;True;True;True;True;True;True;True;True	19;2921;5429;5540;5718;5719;6577;6584;7411;7947	25;3852;7261;7388;7597;7598;7599;7600;7601;7602;8793;8802;9937;10697	34;5388;10010;10185;10186;10461;10462;10463;10464;10465;10466;10467;10468;10469;10470;10471;10472;10473;12098;12112;12113;13623;14688	34;5388;10010;10186;10461;12098;12113;13623;14688	881	1
Tb927.7.2170:mRNA-p1	Tb927.7.2170:mRNA-p1	1	1	1		1	1	1	1	1	1	1	0.8	0.8	0.8	168.67	1481	1481	1	1						0	3.1006	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	0.8	211430	92964	118460	211430	92964	118460				1665	2536	True	2656	3498	4866;4867	4866		
Tb927.7.2190:mRNA-p1	Tb927.7.2190:mRNA-p1	3	3	3		1	3	3	3	3	3	3	11.7	11.7	11.7	29.242	266	266	4				3			0	5.9752	By MS/MS	1.699	1.7362	46.259	3	0	Leave out requantified	1.699	1.7362	46.259	3	0	Leave out requantified	11.7	4019600	1657200	2362300	4019600	1657200	2362300				1666	2750;7937;9014	True;True;True	2874;8330;9460	3795;11201;12712	5305;15395;15396;17550;17551	5305;15396;17551		
Tb927.7.2220:mRNA-p1	Tb927.7.2220:mRNA-p1	1	1	1		1	1	1	1	1	1	1	1.8	1.8	1.8	74.361	669	669	2		1					0.00058106	2.4393	By MS/MS	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	1.8	0	0	0	0	0	0				1667	8658	True	9091	12219	16877	16877		
Tb927.7.240:mRNA-p1;Tb927.7.230:mRNA-p1	Tb927.7.240:mRNA-p1;Tb927.7.230:mRNA-p1	2;2	2;2	2;2	;	2	2	2	2	2	2	2	23.3	23.3	23.3	11.17	103	103;103	6						8	0	17.069	By MS/MS	0.88908	0.91501	3.5186	8	0	Leave out requantified	0.88908	0.91501	3.5186	8	0	Leave out requantified	23.3	6611900	3449600	3162300	6611900	3449600	3162300				1668	1768;4908	True;True	1852;1853;5111;5112	2456;2457;2458;2459;6839;6840;6841;6842	3396;3397;3398;3399;3400;3401;9451;9452;9453;9454;9455;9456;9457	3396;9456	882;883;884	64;89;93
Tb927.7.2300:mRNA-p1	Tb927.7.2300:mRNA-p1	7	7	7		1	7	7	7	7	7	7	5.5	5.5	5.5	132.36	1203	1203	1	7						0	15.2	By MS/MS	1.153	1.1113	10.806	7	1	Leave out requantified	1.153	1.1113	10.806	7	1	Leave out requantified	5.5	5581500	2569400	3012100	5581500	2569400	3012100				1669	141;488;1202;1805;2616;3742;6009	True;True;True;True;True;True;True	146;502;1255;1890;2737;3901;6333	198;678;1677;2501;3600;5200;8490	282;283;960;2320;3463;5014;7251;7252;11698;11699	283;960;2320;3463;5014;7251;11698		
Tb927.7.2370:mRNA-p1;Tb927.7.2340:mRNA-p1	Tb927.7.2370:mRNA-p1;Tb927.7.2340:mRNA-p1	4;4	4;4	4;4	;	2	4	4	4	4	4	4	33.6	33.6	33.6	17.474	152	152;152	5.62				1	1	6	0	33.147	By MS/MS	1.0011	1.0368	2.8324	5	0	Leave out requantified	1.0011	1.0368	2.8324	5	0	Leave out requantified	33.6	12816000	6438500	6377400	12816000	6438500	6377400				1670	761;1574;2909;6165	True;True;True;True	786;1650;3038;6495	1037;1038;2187;2188;2189;4041;4042;8682	1450;1451;1452;3002;3003;3004;3005;3006;3007;3008;3009;3010;5636;5637;11962	1450;3007;5636;11962	885	96
Tb927.7.2360:mRNA-p1	Tb927.7.2360:mRNA-p1	1	1	1		1	1	1	1	1	1	1	4.2	4.2	4.2	34.599	308	308	4				1			1	-2	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	4.2	63927	24938	38989	63927	24938	38989	+			1671	3440	True	3591	4775	6669	6669	886	202
Tb927.7.2390:mRNA-p1	Tb927.7.2390:mRNA-p1	9	9	9		1	9	9	9	9	9	9	11.9	11.9	11.9	102.86	951	951	1	10						0	25.121	By MS/MS	0.84683	0.83865	25.777	7	1	Leave out requantified	0.84683	0.83865	25.777	7	1	Leave out requantified	11.9	2178600	1337700	840920	2178600	1337700	840920				1672	1217;1606;2039;3505;4323;5083;5956;6520;7072	True;True;True;True;True;True;True;True;True	1270;1684;2137;3658;4509;5295;6277;6857;7430	1700;2249;2828;2829;4861;6045;7081;8407;9148;9961	2346;3082;3930;3931;6779;6780;8387;8388;9780;11586;11587;12574;13654	2346;3082;3930;6779;8387;9780;11587;12574;13654		
Tb927.7.2400:mRNA-p1	Tb927.7.2400:mRNA-p1	1	1	1		1	1	1	1	1	1	1	3.1	3.1	3.1	45.797	425	425	4				1			0	2.7808	By MS/MS	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	3.1	461810	229390	232420	461810	229390	232420				1673	2252	True	2361	3118	4331;4332	4331		
Tb927.7.2410:mRNA-p1	Tb927.7.2410:mRNA-p1	9	9	9		1	9	9	9	9	9	9	18.8	18.8	18.8	66.378	600	600	2		9					0	54.92	By MS/MS	0.92643	0.88555	11.476	9	1	Leave out requantified	0.92643	0.88555	11.476	9	1	Leave out requantified	18.8	2877500	1482700	1394800	2877500	1482700	1394800				1674	2741;3411;4802;6611;6721;7057;7087;7694;9179	True;True;True;True;True;True;True;True;True	2865;3562;5001;6951;7063;7415;7445;8083;9643	3786;4733;6709;9270;9428;9941;9978;10886;12947	5295;6608;9266;9267;12740;12955;13628;13629;13679;14945;17885	5295;6608;9267;12740;12955;13628;13679;14945;17885		
